,city,stkcd
0,镇江,002077#600305#600746#000910#600844#300217#603007#300641#603876
1,杭州,000411#000559#000607#000906#000909#000925#000963#002010#002095#002115#002133#002135#002214#002236#002244#002266#002280#002284#002364#002415#002418#002444#002479#002488#002493#002508#300020#300025#300033#300078#300133#300144#300145#600077#600120#600126#600283#600460#600477#600570#600571#600576#600671#600677#600704#600763#600776#600797#600814#600865#600987#601177#002534#300113#002552#002570#300203#300244#300250#300266#600633#300270#002637#300306#300347#000156#600023#300360#002712#603558#603618#300435#300451#603300#603901#002761#300478#002767#300512#002801#603816#300550#300553#603258#600926#300558#603556#300571#603823#603298#300582#603186#603040#002849#603238#603388#002860#300604#300645#603505#300643#300649#603926#300652#603980#603316#601878#300669#603602#603129#300695#603277#300710#601108#603289#603605#603506#300743#300746
2,徐州,002262#600300#002513#000425#300201#300304#002734#300420#300466#300717
3,潍坊,000338#000677#000822#000880#002107#002241#002526#600319#000488#300214#300237#002655#300321#300391#603536#603278
4,西宁,000606#600117#600243#600381#600714#601168#603843
5,嘉兴,002188#002404#002522#600235#600273#601002#002067#002344#600330#600796#600176#002648#002718#603168#603889#300461#300488#300548#603165#603225#603055#300718#603685#603105
6,保定,002342#300152#600135#600550#601633#300428#300446
7,许昌,000400#002406#600439#002358#600172
8,柳州,000528#600249#600423#601003#603368
9,株洲,002523#600458#600479#600961#002567#300665#300726
10,广州,000429#000502#000522#000523#000524#000529#000531#000539#000776#000861#000893#000987#002030#002045#002060#002084#002152#002169#002177#002181#002187#002192#002209#002308#002311#002400#002420#002461#002465#300098#300147#600004#600029#600048#600098#600143#600332#600393#600428#600684#600685#600728#300155#600894#002544#300177#002572#300219#300238#002656#002663#601238#300310#603002#002678#002683#300335#002709#002732#603898#603309#300424#300404#300438#300448#300482#300499#601900#603608#300503#603861#300521#603322#002832#002833#002841#300616#300625#603833#601228#300635#603043#002888#603233#300687#603535#603882#603813#002905#002908#002909#300711#300723#603848#300738
11,东莞,000573#000828#002317#002503#300083#600183#300221#002638#300328#300376#002717#300410#300460#002757#002791#603038#300606#300607#002855#002774#002902#300716#002930
12,铜陵,000630#002136#600237#600470#600520#600577
13,南阳,002087#002189#002536#002714#300701
14,桂林,000978#002166#002175#002275#603166
15,包头,600010#600091#600111#600191#600262#600967#300239
16,龙岩,600388#601899#002682#603686
17,重庆,000514#000565#000625#000656#000736#000788#000838#000892#000950#001696#002004#002507#300006#300122#600106#600116#600129#600279#600292#600369#600452#600565#600729#600847#600877#601005#601158#601777#300194#300275#601965#603766#300363#603100#600917#603601#002742#002765#601127#600939#603758#002872#603976#002907
18,哈尔滨,300040#600095#600178#600202#600371#600598#600666#600701#600726#600853#600864#601188#600664#600829#600891#002698#002737#603023#300489
19,淄博,000655#000726#000756#002088#002382#002408#002469#002521#600529#600586#600587#600966#300233#300243#300343#002810#300677#300654
20,洛阳,002179#600876#002613#300263#601608#601038#603993#603566
21,荆门,000627#000902#002072#002783
22,兰州,000691#000779#000791#000929#300084#600108#600192#600516#600543#600720#601798#002644#603169#603999#300534#601086#002910
23,温州,002154#600113#603001#002687#002730#300412#603568#603116#300673#002897#603045
24,湖州,002034#002043#002318#002427#002443#600175#300181#300357#603600#603611#603338#603789#002756#603701#603578#603595#603661#603709#603897
25,常州,000570#002478#002516#300029#600510#300169#601799#002550#002553#300190#300196#002623#601100#300305#002708#603188#603158#300429#603203#603819#603878#300617#603133#603269#300660#603286#603880#603776#603136#603829#300709#603937#603655#603161#603680
26,绵阳,000801#600839#601208#300432
27,石家庄,000158#000600#000709#002282#300137#600803#600812#002603#300255#002691#300368#300491#603050
28,银川,000862#600449#600785
29,南宁,000911#002329#600236#600301#600368#600712#601996#002592#002696#300422#601368#600936
30,衢州,600160#603733
31,滨州,002379#600448#600960#601678#600727#603086
32,鞍山,000898#300202#300210#002667#603315
33,德州,600426#603586#603113#603612#300690
34,无锡,000418#000581#000738#002009#002395#300031#600327#600400#600475#600667#000700#000890#000936#600078#600398#002540#300279#600401#002685#300337#002692#300385#603988#603519#300450#300495#002778#603028#002802#603016#300537#603090#002807#601500#600908#300555#300563#603585#603416#300580#603078#603787#603985#603488#002877#002883#300680#300682#603359#300697#300707#603722#603507#300721#300664#300694#603629#603185
35,南通,002156#002349#002483#002484#300091#600389#600522#600770#600862#002576#601010#300421#603968#603339#603313#603036#603389#300623#300753
36,襄阳,000615#000678#300041#300046#601311
37,武汉,000501#000520#000665#000759#000783#000852#000883#000939#000966#000988#002159#002194#002281#002305#002377#002414#300018#300054#600005#600035#600068#600079#600136#600168#600345#600355#600421#600498#600769#600774#600976#600993#600998#600133#300161#300184#600757#300205#300220#300323#300494#300516#300517#300527#300536#603716#300557#300567#300683#300747#002932#601869#601162#603220
38,长沙,000157#000419#000428#000504#000548#000748#000900#000998#002097#002155#002261#002277#002297#002397#002452#002533#300015#300148#600156#600478#600731#600744#600975#601098#000932#600476#600991#300209#000917#601901#002650#300298#000722#300338#300345#300358#603998#300413#603883#300490#300474#300515#002843#300592#603517#002879#300672#603721#300700#300705#002903#300730#300740#600929#601577
39,大连,000530#000679#002069#002204#002220#002447#300097#300125#600125#600241#600346#600593#600694#600719#600739#600747#601880#603360
40,梅州,002198#002233#002288#600868#600382#603936
41,沈阳,000410#000511#000597#000692#000698#000715#002231#300024#600167#600306#600396#600609#600715#600718#600758#601999#300290#300293#002689#603609#002731#603866#300573
42,乐山,600644#000888#600678#603333#603077#603477
43,西安,000516#000563#000564#000610#000721#000768#000812#002149#002267#300023#300103#300140#600080#600248#600302#600343#600455#600665#600706#600831#600893#600984#601179#601369#601958#300164#601012#002673#601225#300397#300487#002799#300581
44,南昌,000550#000650#000899#000990#002036#002157#600053#600269#600316#600363#600461#600507#600561#600590#600750#002591#002695#300453#603398#603977
45,惠州,000100#300014#002579#300322#300476#002809#603386#002906#002920#300735
46,连云港,000626#600276#600557#601008#603366#603688
