,股票代码,股票简称,注册地,办公地,中文全称,所属城市
0,000001,平安银行,深圳,深圳,平安银行股份有限公司,深圳
1,000002,万科A,深圳,深圳,万科企业股份有限公司,深圳
2,000003,PT 金田A,深圳,深圳,金田实业集团股份有限公司,深圳
3,000004,国华网安,深圳,深圳,深圳国华网安科技股份有限公司,深圳
4,000005,ST 星源,深圳,深圳,深圳世纪星源股份有限公司,深圳
5,000006,深振业A,深圳,深圳,深圳市振业(集团)股份有限公司,深圳
6,000007,*ST 全新,深圳,深圳,深圳市全新好股份有限公司,深圳
7,000008,神州高铁,北京,北京,神州高铁技术股份有限公司,北京
8,000009,中国宝安,深圳,深圳,中国宝安集团股份有限公司,深圳
9,000010,美丽生态,深圳,深圳,深圳美丽生态股份有限公司,深圳
10,000011,深物业A,深圳,深圳,深圳市物业发展(集团)股份有限公司,深圳
11,000012,南玻A,深圳,深圳,中国南玻集团股份有限公司,深圳
12,000013,ST 石化A,深圳,深圳,深圳石化工业集团股份有限公司,深圳
13,000014,沙河股份,深圳,深圳,沙河实业股份有限公司,深圳
14,000015,PT 中浩A,深圳,深圳,深圳中浩集团股份有限公司,深圳
15,000016,深康佳A,深圳,深圳,康佳集团股份有限公司,深圳
16,000017,深中华A,深圳,深圳,深圳中华自行车(集团)股份有限公司,深圳
17,000018,神州长城,深圳,北京,神州长城股份有限公司,深圳
18,000019,深粮控股,深圳,深圳,深圳市深粮控股股份有限公司,深圳
19,000020,深华发A,深圳,深圳,深圳中恒华发股份有限公司,深圳
20,000021,深科技,深圳,深圳,深圳长城开发科技股份有限公司,深圳
21,000022,深赤湾A,深圳,深圳,深圳赤湾港航股份有限公司,深圳
22,000023,深天地A,深圳,深圳,深圳市天地(集团)股份有限公司,深圳
23,000024,招商地产,深圳,深圳,招商局地产控股股份有限公司,深圳
24,000025,特力A,深圳,深圳,深圳市特力(集团)股份有限公司,深圳
25,000026,飞亚达,深圳,深圳,飞亚达精密科技股份有限公司,深圳
26,000027,深圳能源,深圳,深圳,深圳能源集团股份有限公司,深圳
27,000028,国药一致,深圳,深圳,国药集团一致药业股份有限公司,深圳
28,000029,深深房A,深圳,深圳,深圳经济特区房地产(集团)股份有限公司,深圳
29,000030,富奥股份,吉林省长春市,吉林省长春市,富奥汽车零部件股份有限公司,长春
30,000031,大悦城,深圳,深圳,大悦城控股集团股份有限公司,深圳
31,000032,深桑达A,深圳,深圳,深圳市桑达实业股份有限公司,深圳
32,000033,新都酒店,深圳,深圳,深圳新都酒店股份有限公司,深圳
33,000034,神州数码,深圳,北京,神州数码集团股份有限公司,深圳
34,000035,中国天楹,江苏省海安市,江苏省海安市,中国天楹股份有限公司,南通
35,000036,华联控股,深圳,深圳,华联控股股份有限公司,深圳
